Asset Type,Make,Model
Computer,ASUS,NGP-410
Computer,Beyondtrust,RPA
Computer,Dell,I7-4790
Computer,Dell,Optiplex 5050 Mini Tower
Computer,Dell,Optiplex 7010
Computer,Dell,Optiplex 7050
Computer,Dell,OptiPlex 9010
Computer,Dell,OptiPlex 9020
Computer,Dell,PowerEdge R220
Computer,Dell,PowerEdge R320
Computer,Dell,PowerEdge R720
Computer,Dell,PowerEdge R730
Computer,Dell,PowerEdge R740
Computer,Dell,PowerEdge T330
Computer,Dell,PowerEdge T40
Computer,Dell,Precision T3610
Computer,Dell,
Computer,HP,500B
Computer,HP,Compaq
Computer,HP,Compaq 6200 Pro SFF PC
Computer,HP,Compaq 8200 Elite SFF PC
Computer,HP,Compaq Elite 8300 SFF
Computer,HP,EliteDesk 800 G1 SFF
Computer,HP,EliteDesk 800 G2 SFF
Computer,HP,EliteDesk 800 G4 WKS TWR
Computer,HP,EliteDesk 800 G5 TWR
Computer,HP,EliteDesk 800 G6 Small
Computer,HP,HP EliteDesk 800 G1 SFF
Computer,HP,HP EliteDesk 800 G5 TWR
Computer,HP,HP EliteDesk 800 G6 SFF
Computer,HP,OptiPlex 9010
Computer,HP,ProLiant DL120 Gen9
Computer,HP,ProLiant DL360e Gen8
Computer,HP,ProLiant DL360p Gen8
Computer,HP,ProLiant DL380 Gen10
Computer,HP,ProLiant DL380 Gen9
Computer,HP,ProLiant ML350 Gen10
Computer,HP,Z2 Tower G4 Workstation
Computer,HP,
Computer,MSI,AMD Ryzen 7 5700U 
Network,Cisco,4300
Network,Cisco,C9300-24p
Network,Cisco,Catalyst 1000
Network,Cisco,Catalyst 2960
Network,Cisco,Catalyst 3560
Network,Cisco,IE5000
Network,Nozomi Networks,NSG-L 100
Network,Palo Alto,PA-220
Network,Palo Alto,PA-3220
Network,Palo Alto,PA-820
Network,Time Tools,T300
Network,TP Link,
